RC,UFI,UNI,LAT,LONG,DMS_LAT,DMS_LONG,UTM,JOG,FC,DSG,PC,CC1,ADM1,ADM2,DIM,CC2,NT,LC,SHORT_FORM,GENERIC,SORT_NAME,FULL_NAME,FULL_NAME_ND,MODIFY_DATE
1,337146,418984,-12.8633333,45.2055556,-125148,451220,NL27,SD38-02,T,HLL,,MF,0,,,,N,,,,GOGORAKANDZA,Gogorakandza,Gogorakandza,1997-12-23
3,336796,418537,-12.8113889,45.1222222,-124841,450720,NL18,SD38-02,H,STM,,MF,0,,,,N,,,Mro,GOMENI MROOUA,Mro oua Gomeni,Mro oua Gomeni,1997-12-23
3,337877,419778,-12.9122222,45.0783333,-125444,450442,NL07,SD38-02,T,BCH,,MF,0,,,,N,,,Mtsanga,GOUELA MTSANGA,Mtsanga Gouéla,Mtsanga Gouela,1997-12-23
3,336763,418501,-12.7980556,45.2102778,-124753,451237,NL28,SD38-02,H,STM,,MF,0,,,,N,,,Mro,GOULOUE MROOUA,Mro oua Gouloué,Mro oua Gouloue,1997-12-23
3,337897,419799,-12.6908333,45.2325,-124127,451357,NL29,SD38-02,H,RF,,MF,0,,,,N,,,Récif,GRANDRECIFDUNORDEST,Grand Récif du Nord Est,Grand Recif du Nord Est,1997-12-23
3,335484,416982,-12.7736111,45.0991667,-124625,450557,NL18,SD38-02,T,BCH,,MF,0,,,,N,,,Mtsanga,GUINI MTSANGA,Mtsanga Guini,Mtsanga Guini,1997-12-23
3,335786,417305,-12.7872222,45.1111111,-124714,450640,NL18,SD38-02,P,PPL,,MF,0,,,,N,,,,HACHENOUA,Hachénoua,Hachenoua,1997-12-23
1,337076,418899,-12.8286111,45.1327778,-124943,450758,NL18,SD38-02,H,STM,,MF,0,,,,N,,,Mro,HACHIKE MROOUA,Mro oua Hachike,Mro oua Hachike,1997-12-23
3,335407,416884,-12.7102778,45.0625,-124237,450345,NL09,SD38-02,T,MTS,,MF,0,,,,N,,,,HACHIROUNGOU,Hachiroungou,Hachiroungou,1997-12-23
3,335462,416956,-12.765,45.0905556,-124554,450526,NL08,SD38-02,T,BCH,,MF,0,,,,N,,,Mtsanga,HADSALE MTSANGA,Mtsanga Hadsalé,Mtsanga Hadsale,1997-12-23
1,337143,418981,-12.8655556,45.1933333,-125156,451136,NL27,SD38-02,P,PPL,,MF,0,,,,N,,,,HAJANGOUA,Hajangoua,Hajangoua,1997-12-23
1,337145,418983,-12.8572222,45.2036111,-125126,451213,NL27,SD38-02,H,COVE,,MF,0,,,,N,,,Anse,HAJANGOUA ANSE,Anse Hajangoua,Anse Hajangoua,1997-12-23
3,337148,418987,-12.8544444,45.1938889,-125116,451138,NL27,SD38-02,S,MNQR,,MF,0,,,,N,,,Carrière,HAJANGOUA CARRIEREDE,Carrière de Hajangoua,Carriere de Hajangoua,1997-12-23
3,337052,418872,-12.8302778,45.2438889,-124949,451438,NL28,SD38-02,T,ISLS,,MF,0,,,,N,,,Îles,HAJANGOUA ILES,Îles Hajangoua,Iles Hajangoua,1997-12-23
1,337141,418979,-12.8594444,45.1980556,-125134,451153,NL27,SD38-02,H,STM,,MF,0,,,,N,,,Mro,HAJANGOUA MROOUA,Mro oua Hajangoua,Mro oua Hajangoua,1997-12-23
3,337054,418874,-12.8780556,45.2580556,-125241,451529,NL27,SD38-02,H,RF,,MF,0,,,,N,,,Récif,HAJANGOUA RECIF,Récif Hajangoua,Recif Hajangoua,1997-12-23
3,337151,418990,-12.8713889,45.1722222,-125217,451020,NL17,SD38-02,L,RESF,,MF,0,,,,N,,,Réserve Forestière,HAJANGOUA RESERVEFORESTIEREDE,Réserve Forestière de Hajangoua,Reserve Forestiere de Hajangoua,1997-12-23
3,336721,418451,-12.7694444,45.2302778,-124610,451349,NL28,SD38-02,T,PEN,,MF,0,,,,N,,,,HAMAHA,Hamaha,Hamaha,1997-12-23
3,336717,418448,-12.7611111,45.235,-124540,451406,NL28,SD38-02,T,BCH,,MF,0,,,,N,,,Plage,HAMAHA PLAGEDE,Plage de Hamaha,Plage de Hamaha,1997-12-23
3,335384,416859,-12.6858333,45.0719444,-124109,450419,NL09,SD38-02,P,PPL,,MF,0,,,,N,,,,HAMJAGO,Hamjago,Hamjago,1997-12-23
3,337174,419021,-12.8786111,45.2133333,-125243,451248,NL27,SD38-02,P,PPL,,MF,0,,,,N,,,,HAMOURO,Hamouro,Hamouro,1997-12-23
3,335320,416773,-12.6786111,45.0977778,-124043,450552,NL19,SD38-02,P,PPL,,MF,0,,,,N,,,,HANDREMA,Handréma,Handrema,1997-12-23
3,335319,416772,-12.665,45.0955556,-123954,450544,NL19,SD38-02,H,BAY,,MF,0,,,,N,,,Baie,HANDREMA BAIEDE,Baie de Handréma,Baie de Handrema,1997-12-23
3,335856,417430,-12.6844444,45.1016667,-124104,450606,NL19,SD38-02,R,RDJCT,,MF,0,,,,N,,,Carrefour,HANDREMA CARREFOURDE,Carrefour de Handréma,Carrefour de Handrema,1997-12-23
3,335330,416786,-12.6725,45.1122222,-124021,450644,NL19,SD38-02,T,ISL,,MF,0,,,,N,,,Chissioua,HANDREMA CHISSIOUA,Chissioua Handréma,Chissioua Handrema,1997-12-23
3,335317,416770,-12.6672222,45.0866667,-124002,450512,NL09,SD38-02,T,BCH,,MF,0,,,,N,,,Plage,HANDREMA PLAGEDE,Plage de Handréma,Plage de Handrema,1997-12-23
3,337871,419772,-12.9005556,45.0986111,-125402,450555,NL17,SD38-02,P,PPL,,MF,0,,,,N,,,,HANYOUNDROU,Hanyoundrou,Hanyoundrou,1997-12-23
3,335495,416994,-12.7575,45.1094444,-124527,450634,NL18,SD38-02,H,STM,,MF,0,,,,N,,,Mroni,HAOUALA MRONI,Mroni Haouala,Mroni Haouala,1997-12-23
3,336795,418536,-12.8027778,45.1158333,-124810,450657,NL18,SD38-02,H,STM,,MF,0,,,,N,,,Mro,HAOUTOUNGOU MROOUA,Mro oua Haoutoungou,Mro oua Haoutoungou,1997-12-23
3,335344,416801,-12.6933333,45.1083333,-124136,450630,NL19,SD38-02,T,RDGE,,MF,0,,,,N,,,Mlima,HASSOVE MLIMA,Mlima Hassové,Mlima Hassove,1997-12-23
3,337136,418972,-12.8411111,45.1888889,-125028,451120,NL28,SD38-02,P,PPL,,MF,0,,,,N,,,,ILONI,Iloni,Iloni,1997-12-23
1,337138,418975,-12.8463889,45.1927778,-125047,451134,NL27,SD38-02,T,BCH,,MF,0,,,,N,,,Mtsanga,ILONI MTSANGA,Mtsanga Iloni,Mtsanga Iloni,1997-12-23
3,337070,418892,-12.8305556,45.1886111,-124950,451119,NL28,SD38-02,P,PPL,,MF,0,,,,N,,,,IRONIBE,Ironi Bé,Ironi Be,1997-12-23
