Année de naissance;Code commune;Libellé commune;Sexe;Prénom;Nombre
2018;35238;Rennes;Féminin;Aïdenn;1
2018;35238;Rennes;Féminin;Aïla;1
2018;35238;Rennes;Féminin;Aleksandra;1
2018;35238;Rennes;Masculin;Cyril;1
2018;35238;Rennes;Masculin;Dionys;1
2018;35238;Rennes;Masculin;Khalil;2
2018;35238;Rennes;Masculin;Eythann;1
2018;35238;Rennes;Masculin;Martin;29
2018;35238;Rennes;Masculin;Joey;1
2018;35238;Rennes;Masculin;Milann;2
2018;35238;Rennes;Masculin;Kéziah;1
2018;35238;Rennes;Masculin;Layone;1
2018;35238;Rennes;Masculin;Loïc;1
2018;35238;Rennes;Masculin;Naïm;8
2018;35238;Rennes;Masculin;Lyvan;1
2018;35238;Rennes;Masculin;Noha;2
2018;35238;Rennes;Masculin;Maluto'a;1
2018;35238;Rennes;Masculin;Owen;10
2018;35238;Rennes;Masculin;Milio;1
2018;35238;Rennes;Féminin;Anne-Élise;1
2018;35238;Rennes;Féminin;Iris;25
2018;35238;Rennes;Féminin;Damya;1
2018;35238;Rennes;Féminin;Désia;1
2018;35238;Rennes;Féminin;Édith;1
2018;35238;Rennes;Féminin;Kiara;3
2018;35238;Rennes;Féminin;Elikya;1
2018;35238;Rennes;Féminin;Élyne;1
2018;35238;Rennes;Féminin;Enorah;1
2018;35238;Rennes;Féminin;Fairouz;1
2018;35238;Rennes;Féminin;Hanifa;1
2018;35238;Rennes;Féminin;Heaven;1
2018;35238;Rennes;Féminin;Ibtissem;1
2018;35238;Rennes;Féminin;Iliana;1
2018;35238;Rennes;Féminin;Lucile;6
2018;35238;Rennes;Féminin;Ïnnaya;1
2018;35238;Rennes;Féminin;Isciane;1
2018;35238;Rennes;Féminin;Léonie;24
2018;35238;Rennes;Masculin;Aaron;12
2018;35238;Rennes;Masculin;Ali;3
2018;35238;Rennes;Masculin;Adel;2
2018;35238;Rennes;Masculin;Adhân;1
2018;35238;Rennes;Masculin;Aguibou;1
2018;35238;Rennes;Masculin;Ahmed;1
2018;35238;Rennes;Masculin;André;1
