id;name;latitude;longitude;country;population
249;Cuito;-12.38333;16.93333;AO;113624
250;Huambo;-12.77611;15.73917;AO;226145
251;Chissamba;-12.16667;17.33333;AO;7677
252;Catumbela;-12.43002;13.54677;AO;16977
253;Catabola;-12.15;17.28333;AO;18855
254;Camacupa;-12.01667;17.48333;AO;19150
255;Caconda;-13.73333;15.06667;AO;10549
256;Caála;-12.8525;15.56056;AO;21205
257;Benguela;-12.57626;13.40547;AO;151226
258;Chela;-12.30261;15.43358;AO;5811
259;Zárate;-34.09814;-59.02858;AR;88781
260;Wanda;-25.96879;-54.56285;AR;15529
261;Villa Ortúzar;-34.57973;-58.46829;AR;22500
262;Villa Ocampo;-28.48752;-59.35515;AR;19101
263;Villa María Grande;-31.66565;-59.90182;AR;7101
264;Villa Lugano;-34.67907;-58.47263;AR;114000
265;Villa Hernandarias;-31.23097;-59.98464;AR;5375
266;Villaguay;-31.8653;-59.02689;AR;32027
267;Villa Gesell;-37.26394;-56.97304;AR;23257
268;Villa Elisa;-32.1632;-58.40082;AR;9334
269;Villa de Mayo;-34.5108;-58.68059;AR;43405
270;Veinticinco de Mayo;-27.37679;-54.74312;AR;11928
271;Urdinarrain;-32.68573;-58.89323;AR;7992
272;Tortuguitas;-34.47513;-58.75367;AR;41390
273;Tigre;-34.42603;-58.57962;AR;31106
274;Tandil;-37.32167;-59.13316;AR;104325
275;San Vicente;-26.61667;-54.13333;AR;38247
276;Santo Tomé;-28.54939;-56.04077;AR;22634
277;Santo Pipó;-27.14132;-55.40867;AR;5447
278;Santa Rosa;-28.26318;-58.11891;AR;8330
279;Santa Lucía;-28.98746;-59.10287;AR;14056
280;Santa Elena;-30.94432;-59.78832;AR;18410
281;San Salvador;-31.62487;-58.50524;AR;11626
282;San Pedro;-33.67918;-59.66633;AR;47452
283;San Pedro;-26.62207;-54.10842;AR;23736
284;San Miguel;-27.99585;-57.58964;AR;7396
285;San Luis del Palmar;-27.5079;-58.55454;AR;15347
286;San Lorenzo;-28.13306;-58.76733;AR;47626
287;San José de Feliciano;-30.38452;-58.75167;AR;11137
288;San José;-27.76979;-55.7826;AR;6452
289;San Javier;-30.57781;-59.9317;AR;15606
290;San Isidro;-34.4721;-58.52708;AR;45190
291;San Clemente del Tuyú;-36.35694;-56.72351;AR;11174
292;Saladas;-28.25384;-58.62591;AR;18349
293;Rosario del Tala;-32.30286;-59.14545;AR;13807
294;Retiro;-34.58333;-58.38333;AR;38635
295;Resistencia;-27.46056;-58.98389;AR;387158
296;Reconquista;-29.15;-59.65;AR;90184
297;Quilmes;-34.72904;-58.26374;AR;230000
298;Puerto Vilelas;-27.51414;-58.93906;AR;8455
299;Puerto Tirol;-27.37218;-59.08206;AR;9767
300;Puerto Rico;-26.79598;-55.02402;AR;17491
